"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"201601","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","57","Number of item","0","?","19,864,308",
"201601","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","34","Number of item","0","?","66,441,410",
"201601","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","17","Number of item","0","?","10,295,845",
"201601","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","12","Number of item","0","?","3,662,045",
"201601","84862031","Step and repeat alignersw","18","Number of item","0","?","83,724,574",
"201601","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","20","Number of item","0","?","15,407,818",
"201601","84862041","Dry plasma etching for the manufacture of semiconductor or IC","43","Number of item","0","?","32,318,775",
"201601","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","15","Number of item","0","?","11,183,407",
"201601","84862050","Ion implanters","6","Number of item","0","?","25,263,642",
"201601","84862090","Other apparatus for the manufacture of semiconductor devices","223","Number of item","0","?","52,034,491",
"201602","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","52","Number of item","0","?","24,027,888",
"201602","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","35","Number of item","0","?","62,996,898",
"201602","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","11","Number of item","0","?","7,238,935",
"201602","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","7","Number of item","0","?","6,423,627",
"201602","84862031","Step and repeat alignersw","6","Number of item","0","?","3,067,862",
"201602","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","15","Number of item","0","?","7,138,259",
"201602","84862041","Dry plasma etching for the manufacture of semiconductor or IC","50","Number of item","0","?","55,781,115",
"201602","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","28","Number of item","0","?","11,972,668",
"201602","84862050","Ion implanters","6","Number of item","0","?","21,617,235",
"201602","84862090","Other apparatus for the manufacture of semiconductor devices","145","Number of item","0","?","41,996,684",
"201603","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","81","Number of item","0","?","40,083,543",
"201603","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","73","Number of item","0","?","125,340,304",
"201603","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","27","Number of item","0","?","12,576,738",
"201603","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","7","Number of item","0","?","2,805,312",
"201603","84862031","Step and repeat alignersw","12","Number of item","0","?","131,178,457",
