"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202001","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","89","Number of item","376829","Kilogram","76,198,437",
"202001","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","113","Number of item","720986","Kilogram","269,678,183",
"202001","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","24","Number of item","119861","Kilogram","30,052,158",
"202001","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","6","Number of item","17497","Kilogram","7,371,310",
"202001","84862031","Step and repeat alignersw","14","Number of item","157283","Kilogram","141,910,322",
"202001","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","22","Number of item","191123","Kilogram","90,138,158",
"202001","84862041","Dry plasma etching for the manufacture of semiconductor or IC","107","Number of item","509819","Kilogram","215,487,603",
"202001","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","57","Number of item","267609","Kilogram","24,912,783",
"202001","84862050","Ion implanters","20","Number of item","438933","Kilogram","51,654,278",
"202001","84862090","Other apparatus for the manufacture of semiconductor devices","747","Number of item","490081","Kilogram","89,603,219",
"202002","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","84","Number of item","346351","Kilogram","65,549,236",
"202002","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","77","Number of item","430854","Kilogram","180,298,513",
"202002","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","21","Number of item","38401","Kilogram","17,605,069",
"202002","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","5","Number of item","13764","Kilogram","5,388,054",
"202002","84862031","Step and repeat alignersw","9","Number of item","90101","Kilogram","93,558,767",
"202002","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","25","Number of item","269086","Kilogram","81,154,196",
"202002","84862041","Dry plasma etching for the manufacture of semiconductor or IC","69","Number of item","324027","Kilogram","139,491,233",
"202002","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","40","Number of item","305727","Kilogram","67,732,799",
"202002","84862050","Ion implanters","12","Number of item","282553","Kilogram","30,677,508",
"202002","84862090","Other apparatus for the manufacture of semiconductor devices","268","Number of item","471067","Kilogram","117,723,457",
"202003","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","175","Number of item","700300","Kilogram","165,783,176",
"202003","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","115","Number of item","905705","Kilogram","211,022,122",
"202003","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","79","Number of item","559196","Kilogram","58,208,325",
"202003","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","5","Number of item","3781","Kilogram","1,254,817",
"202003","84862031","Step and repeat alignersw","17","Number of item","239987","Kilogram","121,330,980",
"202003","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","42","Number of item","286486","Kilogram","85,758,505",
"202003","84862041","Dry plasma etching for the manufacture of semiconductor or IC","91","Number of item","384560","Kilogram","156,102,836",
"202003","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","50","Number of item","260255","Kilogram","62,362,720",
"202003","84862050","Ion implanters","19","Number of item","354470","Kilogram","56,753,149",
"202003","84862090","Other apparatus for the manufacture of semiconductor devices","494","Number of item","1024342","Kilogram","195,441,158",
"202004","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","126","Number of item","533960","Kilogram","143,877,949",
"202004","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","133","Number of item","667561","Kilogram","249,899,049",
"202004","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","51","Number of item","198416","Kilogram","47,053,941",
"202004","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","9","Number of item","27092","Kilogram","7,556,606",
"202004","84862031","Step and repeat alignersw","14","Number of item","190336","Kilogram","184,881,324",
"202004","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","50","Number of item","411532","Kilogram","157,089,399",
"202004","84862041","Dry plasma etching for the manufacture of semiconductor or IC","141","Number of item","498486","Kilogram","227,712,039",
"202004","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","98","Number of item","346278","Kilogram","61,595,076",
"202004","84862050","Ion implanters","19","Number of item","325943","Kilogram","46,938,168",
"202004","84862090","Other apparatus for the manufacture of semiconductor devices","397","Number of item","644548","Kilogram","105,978,399",
"202005","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","120","Number of item","393520","Kilogram","102,202,663",
"202005","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","90","Number of item","440631","Kilogram","158,810,278",
"202005","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","45","Number of item","94219","Kilogram","26,603,135",
"202005","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","12","Number of item","52693","Kilogram","12,390,642",
"202005","84862031","Step and repeat alignersw","18","Number of item","191196","Kilogram","179,427,814",
"202005","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","27","Number of item","144778","Kilogram","117,300,584",
"202005","84862041","Dry plasma etching for the manufacture of semiconductor or IC","85","Number of item","347876","Kilogram","177,160,769",
"202005","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","59","Number of item","215410","Kilogram","47,017,319",
"202005","84862050","Ion implanters","10","Number of item","195078","Kilogram","36,964,640",
"202005","84862090","Other apparatus for the manufacture of semiconductor devices","288","Number of item","693687","Kilogram","148,294,784",
"202006","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","140","Number of item","477015","Kilogram","115,464,630",
"202006","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","97","Number of item","401206","Kilogram","170,490,909",
"202006","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","48","Number of item","260381","Kilogram","36,937,759",
"202006","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","9","Number of item","27924","Kilogram","16,760,617",
"202006","84862031","Step and repeat alignersw","33","Number of item","266455","Kilogram","350,726,707",
"202006","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","91","Number of item","224331","Kilogram","69,244,411",
"202006","84862041","Dry plasma etching for the manufacture of semiconductor or IC","98","Number of item","419615","Kilogram","209,191,073",
"202006","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","58","Number of item","184666","Kilogram","46,272,932",
"202006","84862050","Ion implanters","36","Number of item","571887","Kilogram","67,925,793",
"202006","84862090","Other apparatus for the manufacture of semiconductor devices","384","Number of item","790191","Kilogram","172,397,553",
"202007","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","84","Number of item","334930","Kilogram","85,106,876",
"202007","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","95","Number of item","451315","Kilogram","197,380,190",
"202007","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","43","Number of item","187617","Kilogram","73,862,888",
"202007","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","8","Number of item","24188","Kilogram","10,259,714",
"202007","84862031","Step and repeat alignersw","28","Number of item","196868","Kilogram","29,962,998",
"202007","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","86","Number of item","246441","Kilogram","166,617,619",
"202007","84862041","Dry plasma etching for the manufacture of semiconductor or IC","118","Number of item","369500","Kilogram","177,908,829",
"202007","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","49","Number of item","203472","Kilogram","55,588,241",
"202007","84862050","Ion implanters","19","Number of item","368975","Kilogram","54,106,722",
"202007","84862090","Other apparatus for the manufacture of semiconductor devices","389","Number of item","654121","Kilogram","145,998,497",
"202008","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","100","Number of item","406798","Kilogram","105,225,534",
