"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202101","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","153","Number of item","597711","Kilogram","125,129,678",
"202101","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","149","Number of item","796827","Kilogram","301,823,346",
"202101","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","47","Number of item","357483","Kilogram","58,926,877",
"202101","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","18","Number of item","39059","Kilogram","4,119,075",
"202101","84862031","Step and repeat alignersw","27","Number of item","202375","Kilogram","54,792,477",
"202101","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","75","Number of item","479360","Kilogram","382,408,763",
"202101","84862041","Dry plasma etching for the manufacture of semiconductor or IC","129","Number of item","545008","Kilogram","314,984,450",
"202101","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","67","Number of item","327486","Kilogram","81,650,100",
"202101","84862050","Ion implanters","19","Number of item","331374","Kilogram","40,817,698",
"202101","84862090","Other apparatus for the manufacture of semiconductor devices","457","Number of item","984336","Kilogram","168,360,728",
"202102","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","110","Number of item","566609","Kilogram","153,036,655",
"202102","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","142","Number of item","893913","Kilogram","311,990,814",
"202102","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","24","Number of item","108052","Kilogram","33,137,813",
"202102","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","15","Number of item","55839","Kilogram","32,161,768",
"202102","84862031","Step and repeat alignersw","18","Number of item","205929","Kilogram","100,323,523",
"202102","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","31","Number of item","414151","Kilogram","320,661,089",
"202102","84862041","Dry plasma etching for the manufacture of semiconductor or IC","109","Number of item","593799","Kilogram","316,667,673",
"202102","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","71","Number of item","467136","Kilogram","109,851,185",
"202102","84862050","Ion implanters","24","Number of item","460759","Kilogram","53,749,077",
