"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202305","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","24","Number of item","97638","Kilogram","25,535,562",
"202305","84862050","Ion implanters","26","Number of item","477191","Kilogram","84,466,466",
"202305","84862090","Other apparatus for the manufacture of semiconductor devices","268","Number of item","562001","Kilogram","125,025,732",
"202306","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","153","Number of item","454074","Kilogram","101,720,339",
"202306","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","158","Number of item","786648","Kilogram","339,272,745",
"202306","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","58","Number of item","291132","Kilogram","88,245,731",
"202306","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","14","Number of item","62553","Kilogram","39,924,037",
"202306","84862031","Step and repeat alignersw","44","Number of item","391050","Kilogram","489,532,685",
"202306","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","110","Number of item","785326","Kilogram","607,890,976",
"202306","84862041","Dry plasma etching for the manufacture of semiconductor or IC","114","Number of item","518449","Kilogram","258,000,539",
"202306","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","57","Number of item","257988","Kilogram","60,859,371",
"202306","84862050","Ion implanters","34","Number of item","669981","Kilogram","122,805,343",
"202306","84862090","Other apparatus for the manufacture of semiconductor devices","326","Number of item","825761","Kilogram","186,887,352",
"202307","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","209","Number of item","724215","Kilogram","117,392,459",
"202307","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","201","Number of item","1175613","Kilogram","562,110,113",
"202307","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","61","Number of item","1033245","Kilogram","131,796,797",
"202307","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","15","Number of item","90110","Kilogram","61,327,695",
"202307","84862031","Step and repeat alignersw","43","Number of item","318518","Kilogram","414,694,325",
"202307","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","85","Number of item","914334","Kilogram","480,483,618",
