"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"201701","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","54","Number of item","0","-","32,991,357",
"201701","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","69","Number of item","0","-","84,544,277",
"201701","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","29","Number of item","0","-","16,725,386",
"201701","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","12","Number of item","0","-","3,112,112",
"201701","84862031","Step and repeat alignersw","14","Number of item","0","-","69,611,545",
"201701","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","21","Number of item","0","-","19,091,488",
"201701","84862041","Dry plasma etching for the manufacture of semiconductor or IC","79","Number of item","0","-","102,658,772",
"201701","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","24","Number of item","0","-","20,253,333",
"201701","84862050","Ion implanters","7","Number of item","0","-","12,253,407",
"201701","84862090","Other apparatus for the manufacture of semiconductor devices","265","Number of item","0","-","59,171,248",
"201702","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","36","Number of item","0","-","23,483,360",
"201702","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","63","Number of item","0","-","81,973,765",
"201702","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","26","Number of item","0","-","11,163,070",
"201702","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","13","Number of item","0","-","4,003,226",
"201702","84862031","Step and repeat alignersw","10","Number of item","0","-","184,537,032",
"201702","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","20","Number of item","0","-","86,025,972",
"201702","84862041","Dry plasma etching for the manufacture of semiconductor or IC","39","Number of item","0","-","59,653,446",
"201702","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","25","Number of item","0","-","19,646,906",
"201702","84862050","Ion implanters","7","Number of item","0","-","10,219,569",
"201702","84862090","Other apparatus for the manufacture of semiconductor devices","386","Number of item","0","-","91,590,867",
"201703","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","29","Number of item","0","-","21,889,643",
"201703","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","57","Number of item","0","-","72,534,128",
"201703","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","38","Number of item","0","-","33,813,127",
"201703","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","10","Number of item","0","-","5,902,335",
"201703","84862031","Step and repeat alignersw","14","Number of item","0","-","18,467,991",
"201703","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","40","Number of item","0","-","95,178,035",
"201703","84862041","Dry plasma etching for the manufacture of semiconductor or IC","52","Number of item","0","-","71,379,300",
"201703","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","19","Number of item","0","-","12,214,383",
"201703","84862050","Ion implanters","6","Number of item","0","-","9,195,152",
