"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"201501","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","49","Number of item","0","?","32,219,197",
"201501","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","44","Number of item","0","?","53,530,185",
"201501","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","38","Number of item","0","?","22,072,002",
"201501","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","7","Number of item","0","?","8,483,351",
"201501","84862031","Step and repeat alignersw","13","Number of item","0","?","104,075,722",
"201501","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","8","Number of item","0","?","2,570,438",
"201501","84862041","Dry plasma etching for the manufacture of semiconductor or IC","25","Number of item","0","?","24,035,926",
"201501","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","25","Number of item","0","?","10,549,952",
"201501","84862050","Ion implanters","6","Number of item","0","?","17,277,978",
"201501","84862090","Other apparatus for the manufacture of semiconductor devices","192","Number of item","0","?","38,091,673",
"201502","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","50","Number of item","0","?","22,798,986",
"201502","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","51","Number of item","0","?","83,840,471",
"201502","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","24","Number of item","0","?","15,097,053",
"201502","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","4","Number of item","0","?","382,738",
"201502","84862031","Step and repeat alignersw","8","Number of item","0","?","33,876,540",
"201502","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","30","Number of item","0","?","45,127,639",
"201502","84862041","Dry plasma etching for the manufacture of semiconductor or IC","51","Number of item","0","?","58,461,317",
"201502","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","25","Number of item","0","?","14,526,689",
"201502","84862050","Ion implanters","15","Number of item","0","?","25,080,414",
"201502","84862090","Other apparatus for the manufacture of semiconductor devices","188","Number of item","0","?","47,577,147",
"201503","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","54","Number of item","0","?","28,527,305",
"201503","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","56","Number of item","0","?","113,133,682",
"201503","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","28","Number of item","0","?","16,068,989",
"201503","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","5","Number of item","0","?","9,069,565",
"201503","84862031","Step and repeat alignersw","15","Number of item","0","?","36,765,915",
"201503","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","24","Number of item","0","?","25,030,637",
"201503","84862041","Dry plasma etching for the manufacture of semiconductor or IC","71","Number of item","0","?","131,000,965",
"201503","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","30","Number of item","0","?","19,329,047",
"201503","84862050","Ion implanters","3","Number of item","0","?","5,826,602",
