"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"201503","84862090","Other apparatus for the manufacture of semiconductor devices","310","Number of item","0","?","64,136,640",
"201504","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","54","Number of item","0","?","23,874,525",
"201504","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","67","Number of item","0","?","111,818,248",
"201504","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","35","Number of item","0","?","21,801,514",
"201504","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","12","Number of item","0","?","4,594,149",
"201504","84862031","Step and repeat alignersw","13","Number of item","0","?","15,682,993",
"201504","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","21","Number of item","0","?","24,080,291",
"201504","84862041","Dry plasma etching for the manufacture of semiconductor or IC","58","Number of item","0","?","82,610,478",
"201504","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","52","Number of item","0","?","24,587,042",
"201504","84862050","Ion implanters","10","Number of item","0","?","21,627,715",
"201504","84862090","Other apparatus for the manufacture of semiconductor devices","245","Number of item","0","?","58,645,629",
"201505","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","34","Number of item","0","?","15,538,025",
"201505","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","44","Number of item","0","?","84,195,672",
"201505","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","40","Number of item","0","?","28,992,488",
"201505","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","13","Number of item","0","?","4,328,991",
"201505","84862031","Step and repeat alignersw","12","Number of item","0","?","17,524,947",
"201505","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","16","Number of item","0","?","8,273,991",
"201505","84862041","Dry plasma etching for the manufacture of semiconductor or IC","54","Number of item","0","?","67,863,768",
"201505","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","37","Number of item","0","?","10,760,407",
"201505","84862050","Ion implanters","7","Number of item","0","?","13,535,958",
"201505","84862090","Other apparatus for the manufacture of semiconductor devices","222","Number of item","0","?","41,285,030",
"201506","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","73","Number of item","0","?","38,698,702",
"201506","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","48","Number of item","0","?","64,386,372",
"201506","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","28","Number of item","0","?","22,229,496",
"201506","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","3","Number of item","0","?","401,875",
"201506","84862031","Step and repeat alignersw","17","Number of item","0","?","11,649,472",
"201506","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","31","Number of item","0","?","9,834,112",
"201506","84862041","Dry plasma etching for the manufacture of semiconductor or IC","47","Number of item","0","?","48,945,182",
"201506","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","26","Number of item","0","?","11,458,163",
"201506","84862050","Ion implanters","5","Number of item","0","?","8,282,241",
"201506","84862090","Other apparatus for the manufacture of semiconductor devices","249","Number of item","0","?","52,836,257",
"201507","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","72","Number of item","0","?","46,153,818",
"201507","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","84","Number of item","0","?","139,526,286",
"201507","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","20","Number of item","0","?","15,057,620",
"201507","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","10","Number of item","0","?","18,309,894",
"201507","84862031","Step and repeat alignersw","36","Number of item","0","?","104,596,294",
"201507","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","39","Number of item","0","?","87,685,947",
"201507","84862041","Dry plasma etching for the manufacture of semiconductor or IC","47","Number of item","0","?","63,053,461",
"201507","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","26","Number of item","0","?","25,785,760",
"201507","84862050","Ion implanters","12","Number of item","0","?","21,248,665",
"201507","84862090","Other apparatus for the manufacture of semiconductor devices","413","Number of item","0","?","48,893,019",
"201508","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","68","Number of item","0","?","39,201,811",
"201508","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","77","Number of item","0","?","175,358,417",
"201508","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","14","Number of item","0","?","14,463,167",
"201508","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","6","Number of item","0","?","9,316,089",
"201508","84862031","Step and repeat alignersw","13","Number of item","0","?","36,253,499",
"201508","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","16","Number of item","0","?","23,089,997",
"201508","84862041","Dry plasma etching for the manufacture of semiconductor or IC","87","Number of item","0","?","266,994,888",
"201508","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","21","Number of item","0","?","19,991,304",
"201508","84862050","Ion implanters","9","Number of item","0","?","25,651,882",
"201508","84862090","Other apparatus for the manufacture of semiconductor devices","278","Number of item","0","?","48,797,795",
"201509","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","65","Number of item","0","?","26,964,943",
"201509","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","93","Number of item","0","?","116,723,920",
"201509","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","16","Number of item","0","?","15,996,847",
"201509","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","14","Number of item","0","?","16,066,758",
"201509","84862031","Step and repeat alignersw","13","Number of item","0","?","105,339,555",
"201509","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","28","Number of item","0","?","30,746,502",
"201509","84862041","Dry plasma etching for the manufacture of semiconductor or IC","66","Number of item","0","?","135,211,673",
"201509","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","39","Number of item","0","?","23,283,942",
"201509","84862050","Ion implanters","7","Number of item","0","?","17,930,425",
"201509","84862090","Other apparatus for the manufacture of semiconductor devices","276","Number of item","0","?","35,058,752",
"201510","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","17","Number of item","0","?","3,605,228",
"201510","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","63","Number of item","0","?","58,638,081",
"201510","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","9","Number of item","0","?","7,362,664",
"201510","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","13","Number of item","0","?","7,133,196",
"201510","84862031","Step and repeat alignersw","6","Number of item","0","?","24,395,319",
"201510","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","31","Number of item","0","?","19,759,181",
"201510","84862041","Dry plasma etching for the manufacture of semiconductor or IC","40","Number of item","0","?","42,735,199",
"201510","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","30","Number of item","0","?","12,369,160",
"201510","84862050","Ion implanters","2","Number of item","0","?","164,507",
"201510","84862090","Other apparatus for the manufacture of semiconductor devices","179","Number of item","0","?","26,635,313",
"201511","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","41","Number of item","0","?","7,132,928",
"201511","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","50","Number of item","0","?","25,867,170",
"201511","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","17","Number of item","0","?","24,462,046",
"201511","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","13","Number of item","0","?","5,483,462",
"201511","84862031","Step and repeat alignersw","21","Number of item","0","?","76,073,328",
"201511","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","34","Number of item","0","?","21,690,726",
"201511","84862041","Dry plasma etching for the manufacture of semiconductor or IC","37","Number of item","0","?","6,710,824",
"201511","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","67","Number of item","0","?","9,569,118",
"201511","84862050","Ion implanters","5","Number of item","0","?","3,737,773",
"201511","84862090","Other apparatus for the manufacture of semiconductor devices","384","Number of item","0","?","43,975,246",
"201512","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","68","Number of item","0","?","12,302,067",
"201512","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","32","Number of item","0","?","44,831,475",
"201512","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","21","Number of item","0","?","16,114,986",
"201512","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","21","Number of item","0","?","10,195,605",
"201512","84862031","Step and repeat alignersw","25","Number of item","0","?","22,264,059",
"201512","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","20","Number of item","0","?","14,895,097",
"201512","84862041","Dry plasma etching for the manufacture of semiconductor or IC","70","Number of item","0","?","36,008,276",
"201512","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","60","Number of item","0","?","9,682,974",
"201512","84862050","Ion implanters","9","Number of item","0","?","50,492,192",
"201512","84862090","Other apparatus for the manufacture of semiconductor devices","247","Number of item","0","?","45,303,316",
