"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202201","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","194","Number of item","928684","Kilogram","211,057,545",
"202201","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","201","Number of item","1150119","Kilogram","412,937,117",
"202201","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","92","Number of item","409193","Kilogram","109,151,136",
"202201","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","12","Number of item","70624","Kilogram","25,946,304",
"202201","84862031","Step and repeat alignersw","18","Number of item","212959","Kilogram","98,134,275",
"202201","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","57","Number of item","405096","Kilogram","149,653,693",
"202201","84862041","Dry plasma etching for the manufacture of semiconductor or IC","169","Number of item","784075","Kilogram","334,461,546",
"202201","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","75","Number of item","387059","Kilogram","107,564,025",
"202201","84862050","Ion implanters","51","Number of item","915123","Kilogram","120,413,379",
"202201","84862090","Other apparatus for the manufacture of semiconductor devices","393","Number of item","958915","Kilogram","194,584,888",
"202202","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","155","Number of item","650017","Kilogram","156,182,878",
"202202","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","122","Number of item","862661","Kilogram","281,056,278",
"202202","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","42","Number of item","200549","Kilogram","68,944,766",
"202202","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","16","Number of item","29404","Kilogram","12,122,318",
"202202","84862031","Step and repeat alignersw","17","Number of item","180302","Kilogram","101,172,834",
"202202","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","71","Number of item","326970","Kilogram","307,975,058",
"202202","84862041","Dry plasma etching for the manufacture of semiconductor or IC","137","Number of item","658234","Kilogram","304,236,767",
"202202","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","69","Number of item","356888","Kilogram","92,629,250",
"202202","84862050","Ion implanters","34","Number of item","572992","Kilogram","90,752,947",
"202202","84862090","Other apparatus for the manufacture of semiconductor devices","359","Number of item","963445","Kilogram","191,950,816",
