"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202203","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","152","Number of item","594452","Kilogram","146,781,970",
"202203","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","135","Number of item","782416","Kilogram","328,158,337",
"202203","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","71","Number of item","289813","Kilogram","101,319,371",
"202203","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","14","Number of item","61026","Kilogram","27,123,975",
"202203","84862031","Step and repeat alignersw","31","Number of item","333050","Kilogram","251,634,712",
"202203","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","116","Number of item","430306","Kilogram","257,580,993",
"202203","84862041","Dry plasma etching for the manufacture of semiconductor or IC","124","Number of item","669551","Kilogram","318,740,801",
"202203","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","71","Number of item","455979","Kilogram","117,955,374",
"202203","84862050","Ion implanters","37","Number of item","651380","Kilogram","84,546,540",
"202203","84862090","Other apparatus for the manufacture of semiconductor devices","356","Number of item","832329","Kilogram","178,464,133",
"202204","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","135","Number of item","476161","Kilogram","149,164,918",
"202204","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","135","Number of item","736165","Kilogram","332,150,145",
"202204","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","54","Number of item","259607","Kilogram","83,501,943",
"202204","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","22","Number of item","29015","Kilogram","21,188,740",
"202204","84862031","Step and repeat alignersw","20","Number of item","246276","Kilogram","100,334,955",
"202204","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","58","Number of item","513398","Kilogram","349,886,731",
"202204","84862041","Dry plasma etching for the manufacture of semiconductor or IC","135","Number of item","646915","Kilogram","325,308,431",
"202204","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","53","Number of item","253881","Kilogram","67,812,056",
"202204","84862050","Ion implanters","35","Number of item","669446","Kilogram","97,455,873",
"202204","84862090","Other apparatus for the manufacture of semiconductor devices","449","Number of item","1010561","Kilogram","183,808,536",
"202205","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","134","Number of item","630070","Kilogram","145,687,247",
"202205","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","143","Number of item","787751","Kilogram","327,348,462",
"202205","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","68","Number of item","382982","Kilogram","115,938,939",
"202205","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","14","Number of item","45755","Kilogram","25,496,241",
"202205","84862031","Step and repeat alignersw","28","Number of item","361675","Kilogram","142,716,690",
"202205","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","36","Number of item","280877","Kilogram","167,158,946",
"202205","84862041","Dry plasma etching for the manufacture of semiconductor or IC","112","Number of item","633244","Kilogram","312,616,513",
"202205","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","84","Number of item","348654","Kilogram","71,640,653",
"202205","84862050","Ion implanters","43","Number of item","720514","Kilogram","98,766,433",
"202205","84862090","Other apparatus for the manufacture of semiconductor devices","489","Number of item","968476","Kilogram","171,390,473",
"202206","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","148","Number of item","746708","Kilogram","143,400,087",
"202206","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","118","Number of item","615379","Kilogram","298,450,795",
"202206","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","48","Number of item","183710","Kilogram","51,438,500",
"202206","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","13","Number of item","62145","Kilogram","11,568,902",
"202206","84862031","Step and repeat alignersw","26","Number of item","210062","Kilogram","118,869,699",
"202206","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","84","Number of item","419642","Kilogram","129,114,517",
"202206","84862041","Dry plasma etching for the manufacture of semiconductor or IC","108","Number of item","537150","Kilogram","338,670,138",
"202206","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","75","Number of item","293185","Kilogram","84,320,277",
"202206","84862050","Ion implanters","25","Number of item","479602","Kilogram","72,209,182",
"202206","84862090","Other apparatus for the manufacture of semiconductor devices","515","Number of item","842692","Kilogram","174,773,351",
"202207","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","158","Number of item","743550","Kilogram","138,933,012",
"202207","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","129","Number of item","1072885","Kilogram","279,174,740",
"202207","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","47","Number of item","258418","Kilogram","106,255,209",
"202207","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","22","Number of item","80061","Kilogram","42,389,087",
"202207","84862031","Step and repeat alignersw","18","Number of item","188636","Kilogram","81,392,573",
"202207","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","53","Number of item","254131","Kilogram","69,663,784",
"202207","84862041","Dry plasma etching for the manufacture of semiconductor or IC","144","Number of item","730153","Kilogram","395,844,900",
"202207","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","54","Number of item","236580","Kilogram","69,409,996",
"202207","84862050","Ion implanters","2027","Number of item","543134","Kilogram","77,682,718",
"202207","84862090","Other apparatus for the manufacture of semiconductor devices","557","Number of item","928893","Kilogram","226,299,745",
"202208","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","195","Number of item","757653","Kilogram","144,256,416",
"202208","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","167","Number of item","998352","Kilogram","415,187,384",
"202208","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","63","Number of item","350447","Kilogram","130,468,201",
"202208","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","8","Number of item","32842","Kilogram","13,866,047",
"202208","84862031","Step and repeat alignersw","24","Number of item","152617","Kilogram","125,500,835",
"202208","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","99","Number of item","505670","Kilogram","283,409,173",
"202208","84862041","Dry plasma etching for the manufacture of semiconductor or IC","113","Number of item","535424","Kilogram","300,590,308",
"202208","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","51","Number of item","219011","Kilogram","50,920,027",
"202208","84862050","Ion implanters","41","Number of item","754983","Kilogram","92,748,561",
"202208","84862090","Other apparatus for the manufacture of semiconductor devices","474","Number of item","793100","Kilogram","195,532,049",
"202209","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","164","Number of item","680943","Kilogram","166,052,913",
"202209","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","136","Number of item","674788","Kilogram","272,664,934",
"202209","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","68","Number of item","413007","Kilogram","129,468,009",
"202209","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","6","Number of item","20816","Kilogram","5,890,723",
"202209","84862031","Step and repeat alignersw","44","Number of item","338353","Kilogram","104,513,220",
"202209","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","98","Number of item","537764","Kilogram","181,774,037",
"202209","84862041","Dry plasma etching for the manufacture of semiconductor or IC","141","Number of item","748053","Kilogram","399,010,757",
"202209","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","72","Number of item","266187","Kilogram","61,848,480",
"202209","84862050","Ion implanters","33","Number of item","655125","Kilogram","98,120,169",
"202209","84862090","Other apparatus for the manufacture of semiconductor devices","514","Number of item","1068550","Kilogram","228,282,759",
"202210","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","111","Number of item","517949","Kilogram","110,829,760",
"202210","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","154","Number of item","1014624","Kilogram","314,742,909",
"202210","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","85","Number of item","269812","Kilogram","61,485,822",
"202210","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","11","Number of item","49196","Kilogram","28,529,883",
"202210","84862031","Step and repeat alignersw","40","Number of item","276821","Kilogram","114,131,275",
"202210","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","88","Number of item","482271","Kilogram","339,201,371",
"202210","84862041","Dry plasma etching for the manufacture of semiconductor or IC","111","Number of item","449225","Kilogram","210,167,808",
"202210","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","61","Number of item","222087","Kilogram","47,144,004",
"202210","84862050","Ion implanters","24","Number of item","427872","Kilogram","52,666,103",
"202210","84862090","Other apparatus for the manufacture of semiconductor devices","307","Number of item","740882","Kilogram","179,553,530",
"202211","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","166","Number of item","602186","Kilogram","117,924,448",
"202211","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","137","Number of item","839022","Kilogram","249,006,221",
"202211","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","55","Number of item","381975","Kilogram","63,740,781",
"202211","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","12","Number of item","42929","Kilogram","12,973,535",
"202211","84862031","Step and repeat alignersw","42","Number of item","457108","Kilogram","131,828,851",
"202211","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","72","Number of item","352145","Kilogram","130,740,558",
"202211","84862041","Dry plasma etching for the manufacture of semiconductor or IC","163","Number of item","618062","Kilogram","257,365,576",
"202211","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","69","Number of item","265985","Kilogram","56,235,661",
"202211","84862050","Ion implanters","49","Number of item","833929","Kilogram","102,349,594",
"202211","84862090","Other apparatus for the manufacture of semiconductor devices","416","Number of item","889206","Kilogram","186,442,558",
"202212","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","147","Number of item","557987","Kilogram","112,891,787",
"202212","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","90","Number of item","679985","Kilogram","207,332,182",
"202212","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","78","Number of item","332870","Kilogram","80,690,720",
"202212","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","29","Number of item","171358","Kilogram","24,449,756",
"202212","84862031","Step and repeat alignersw","23","Number of item","157933","Kilogram","45,304,866",
"202212","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","72","Number of item","324612","Kilogram","181,413,569",
"202212","84862041","Dry plasma etching for the manufacture of semiconductor or IC","143","Number of item","544280","Kilogram","251,987,311",
"202212","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","44","Number of item","165635","Kilogram","47,100,550",
"202212","84862050","Ion implanters","26","Number of item","433181","Kilogram","74,749,183",
"202212","84862090","Other apparatus for the manufacture of semiconductor devices","311","Number of item","575931","Kilogram","129,013,015",
