"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"201801","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","136","Number of item","0","Kilogram","124,022,702",
"201801","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","126","Number of item","0","Kilogram","258,976,779",
"201801","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","52","Number of item","0","Kilogram","100,592,175",
"201801","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","21","Number of item","0","Kilogram","31,681,605",
"201801","84862031","Step and repeat alignersw","30","Number of item","0","Kilogram","201,306,795",
"201801","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","30","Number of item","0","Kilogram","68,949,226",
"201801","84862041","Dry plasma etching for the manufacture of semiconductor or IC","81","Number of item","0","Kilogram","178,361,598",
"201801","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","57","Number of item","0","Kilogram","76,561,649",
"201801","84862050","Ion implanters","19","Number of item","0","Kilogram","34,601,350",
"201801","84862090","Other apparatus for the manufacture of semiconductor devices","355","Number of item","0","Kilogram","125,046,896",
"201802","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","124","Number of item","0","Kilogram","72,793,763",
"201802","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","46","Number of item","0","Kilogram","83,791,447",
"201802","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","15","Number of item","0","Kilogram","28,402,409",
"201802","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","3","Number of item","0","Kilogram","2,752,530",
"201802","84862031","Step and repeat alignersw","9","Number of item","0","Kilogram","9,457,844",
"201802","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","22","Number of item","0","Kilogram","130,649,197",
"201802","84862041","Dry plasma etching for the manufacture of semiconductor or IC","66","Number of item","0","Kilogram","96,579,964",
"201802","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","41","Number of item","0","Kilogram","37,048,855",
"201802","84862050","Ion implanters","10","Number of item","0","Kilogram","28,146,792",
"201802","84862090","Other apparatus for the manufacture of semiconductor devices","239","Number of item","0","Kilogram","61,546,598",
"201803","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","2607","Number of item","0","Kilogram","62,562,799",
"201803","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","102","Number of item","0","Kilogram","181,909,912",
"201803","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","52","Number of item","0","Kilogram","33,332,954",
"201803","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","15","Number of item","0","Kilogram","23,861,840",
"201803","84862031","Step and repeat alignersw","23","Number of item","0","Kilogram","149,459,188",
"201803","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","50","Number of item","0","Kilogram","191,745,432",
"201803","84862041","Dry plasma etching for the manufacture of semiconductor or IC","65","Number of item","0","Kilogram","117,297,170",
"201803","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","58","Number of item","0","Kilogram","52,953,491",
"201803","84862050","Ion implanters","18","Number of item","0","Kilogram","29,092,148",
"201803","84862090","Other apparatus for the manufacture of semiconductor devices","416","Number of item","0","Kilogram","159,217,384",
"201804","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","78","Number of item","0","Kilogram","50,875,149",
"201804","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","89","Number of item","0","Kilogram","178,984,798",
"201804","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","42","Number of item","0","Kilogram","61,832,314",
"201804","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","11","Number of item","0","Kilogram","25,705,227",
"201804","84862031","Step and repeat alignersw","21","Number of item","0","Kilogram","39,516,897",
"201804","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","40","Number of item","0","Kilogram","150,150,197",
"201804","84862041","Dry plasma etching for the manufacture of semiconductor or IC","87","Number of item","0","Kilogram","186,614,971",
"201804","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","45","Number of item","0","Kilogram","41,018,919",
"201804","84862050","Ion implanters","6","Number of item","0","Kilogram","8,213,651",
"201804","84862090","Other apparatus for the manufacture of semiconductor devices","466","Number of item","0","Kilogram","162,058,487",
"201805","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","91","Number of item","0","Kilogram","88,476,157",
"201805","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","79","Number of item","0","Kilogram","200,696,031",
"201805","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","116","Number of item","0","Kilogram","57,015,476",
"201805","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","17","Number of item","0","Kilogram","25,128,635",
"201805","84862031","Step and repeat alignersw","15","Number of item","0","Kilogram","18,971,105",
"201805","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","37","Number of item","0","Kilogram","220,647,666",
"201805","84862041","Dry plasma etching for the manufacture of semiconductor or IC","91","Number of item","0","Kilogram","200,555,445",
"201805","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","45","Number of item","0","Kilogram","53,800,843",
"201805","84862050","Ion implanters","7","Number of item","0","Kilogram","17,863,102",
"201805","84862090","Other apparatus for the manufacture of semiconductor devices","531","Number of item","0","Kilogram","173,761,297",
"201806","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","110","Number of item","0","Kilogram","99,079,741",
"201806","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","95","Number of item","0","Kilogram","233,745,174",
"201806","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","58","Number of item","0","Kilogram","122,942,077",
"201806","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","25","Number of item","0","Kilogram","10,643,592",
"201806","84862031","Step and repeat alignersw","13","Number of item","0","Kilogram","28,006,951",
"201806","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","45","Number of item","0","Kilogram","360,023,640",
"201806","84862041","Dry plasma etching for the manufacture of semiconductor or IC","101","Number of item","0","Kilogram","239,973,528",
"201806","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","51","Number of item","0","Kilogram","67,266,647",
"201806","84862050","Ion implanters","10","Number of item","0","Kilogram","28,151,390",
"201806","84862090","Other apparatus for the manufacture of semiconductor devices","571","Number of item","0","Kilogram","176,364,775",
"201807","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","120","Number of item","0","Kilogram","105,830,576",
"201807","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","105","Number of item","0","Kilogram","294,534,141",
"201807","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","67","Number of item","0","Kilogram","122,586,082",
"201807","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","74","Number of item","0","Kilogram","16,513,789",
"201807","84862031","Step and repeat alignersw","22","Number of item","0","Kilogram","15,833,718",
"201807","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","39","Number of item","0","Kilogram","88,434,281",
"201807","84862041","Dry plasma etching for the manufacture of semiconductor or IC","86","Number of item","0","Kilogram","167,764,218",
"201807","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","48","Number of item","0","Kilogram","61,057,400",
"201807","84862050","Ion implanters","16","Number of item","0","Kilogram","37,754,950",
"201807","84862090","Other apparatus for the manufacture of semiconductor devices","514","Number of item","0","Kilogram","135,401,929",
"201808","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","79","Number of item","0","Kilogram","69,540,460",
