rank,region,score
1,Iraq,9.942
2,Afghanistan,9.404
3,Nigeria,9.275
4,Pakistan,8.588
5,Syria,8.563
6,Yemen,8.052
7,Somalia,7.531
8,India,7.446
9,Egypt,7.343
10,Libya,7.254
11,Ukraine,7.11
12,Philippines,7.078
13,Cameroon,6.972
14,Turkey,6.718
15,Thailand,6.683
16,Niger,6.659
17,Democratic Republic of the Congo,6.624
18,Sudan,6.581
19,Kenya,6.559
20,Central African Republic,6.498
21,Bangladesh,6.488
22,South Sudan,6.468
23,China,6.09
24,Lebanon,6.055
25,Mali,6.036
26,Colombia,5.937
27,Chad,5.807
28,France,5.767
29,Palestine,5.637
30,Burundi,5.437
31,Russia,5.406
32,Saudi Arabia,5.381
33,Israel,5.228
34,United Kingdom,5.056
35,United States,5.027
36,Tunisia,4.957
37,Indonesia,4.482
38,Kuwait,4.43
39,Germany,4.418
39,Nepal,4.418
41,Uganda,4.31
42,Algeria,4.266
43,Myanmar,4.254
44,Greece,4.203
45,Bahrain,4.194
46,Burkina Faso,3.969
47,Iran,3.915
48,Paraguay,3.854
49,Sweden,3.849
50,Tanzania,3.816
51,Mexico,3.736
52,South Africa,3.637
53,Mozambique,3.535
54,Sri Lanka,3.47
55,Ethiopia,3.439
56,Ireland,3.404
57,Australia,3.186
58,Tajikistan,3.077
59,Peru,2.971
60,Jordan,2.846
61,Chile,2.711
62,Malaysia,2.682
63,Bosnia and Herzegovina,2.666
64,Senegal,2.591
65,Rwanda,2.581
66,Canada,2.515
67,Japan,2.437
68,Italy,2.382
69,Finland,2.367
70,Kosovo,2.198
71,Czech Republic,2.172
72,Cote d'Ivoire,2.17
73,Denmark,2.145
74,Nicaragua,2.087
75,Norway,2.071
76,Venezuela,2.046
77,Cyprus,2.035
78,Macedonia,1.852
79,Djibouti,1.773
80,Brazil,1.734
81,Spain,1.675
82,Madagascar,1.665
83,Bulgaria,1.625
84,Kyrgyz Republic,1.581
85,Dominican Republic,1.557
86,Guinea,1.397
87,Belarus,1.351
88,Netherlands,1.314
89,Georgia,1.252
90,Belgium,1.24
91,Guatemala,1.14
91,Honduras,1.14
93,Albania,1.099
93,Estonia,1.099
95,Kazakhstan,0.929
96,Lesotho,0.887
96,Morocco,0.887
98,Argentina,0.831
99,Ecuador,0.789
100,Laos,0.691
101,Eritrea,0.53
102,Trinidad and Tobago,0.496
103,United Arab Emirates,0.42
104,Zimbabwe,0.41
105,Republic of the Congo,0.363
106,Azerbaijan,0.344
106,Ghana,0.344
108,Armenia,0.286
108,Switzerland,0.286
110,Iceland,0.248
110,Liberia,0.248
112,Hungary,0.229
112,Korea,0.229
112,New Zealand,0.229
112,Qatar,0.229
116,Austria,0.181
117,Montenegro,0.153
117,Taiwan,0.153
117,Uzbekistan,0.153
120,Bhutan,0.115
120,Jamaica,0.115
122,Serbia,0.086
123,Guinea-Bissau,0.076
123,Cambodia,0.076
125,Mauritania,0.067
126,Croatia,0.057
126,Portugal,0.057
128,Bolivia,0.038
129,Moldova,0.019
130,Angola,0
130,Benin,0
130,Botswana,0
130,Costa Rica,0
130,Cuba,0
130,Gabon,0
130,The Gambia,0
130,Equatorial Guinea,0
130,Guyana,0
130,Haiti,0
130,Lithuania,0
130,Latvia,0
130,Mongolia,0
130,Mauritius,0
130,Malawi,0
130,Namibia,0
130,Oman,0
130,Panama,0
130,Papua New Guinea,0
130,Poland,0
130,North Korea,0
130,Romania,0
130,Singapore,0
130,Sierra Leone,0
130,El Salvador,0
130,Slovakia,0
130,Slovenia,0
130,Swaziland,0
130,Togo,0
130,Turkmenistan,0
130,Timor-Leste,0
130,Uruguay,0
130,Viet Nam,0
130,Zambia,0
