rank,region,score
1,Iraq,10
2,Afghanistan,9.403
3,Nigeria,8.972
4,Syria,8.597
5,Pakistan,8.366
6,Yemen,7.846
7,Somalia,7.646
8,India,7.513
9,Turkey,7.497
10,Libya,7.232
11,Egypt,7.17
12,Philippines,7.106
13,Democratic Republic of the Congo,6.942
14,South Sudan,6.794
15,Cameroon,6.767
16,Thailand,6.589
17,Ukraine,6.538
18,Sudan,6.425
19,Central African Republic,6.372
20,Niger,6.308
21,Bangladesh,6.16
22,Kenya,6.149
23,France,5.941
24,Ethiopia,5.913
25,Mali,5.875
26,Saudi Arabia,5.794
27,Colombia,5.638
28,Burundi,5.631
29,Lebanon,5.619
30,Palestine,5.535
31,China,5.527
32,United States,5.463
33,Russia,5.31
34,Chad,5.249
35,United Kingdom,5.093
36,Israel,5.047
37,Myanmar,4.935
38,Germany,4.919
39,Mozambique,4.812
40,Belgium,4.64
41,Tunisia,4.612
42,Indonesia,4.537
43,Burkina Faso,4.508
44,Nepal,4.371
45,Uganda,4.302
46,Greece,4.125
47,South Africa,4.08
48,Republic of the Congo,4.043
49,Algeria,3.952
50,Kuwait,3.786
51,Jordan,3.773
52,Iran,3.701
53,Cote d'Ivoire,3.688
54,Sweden,3.684
55,Bahrain,3.655
56,Venezuela,3.626
57,Paraguay,3.602
58,Japan,3.584
59,Tanzania,3.398
60,Chile,3.363
61,Malaysia,3.321
62,Mexico,3.279
63,Madagascar,3.275
64,Ireland,3.13
65,Australia,3.081
66,Canada,2.945
67,Kazakhstan,2.937
68,Sri Lanka,2.892
69,Italy,2.74
70,Tajikistan,2.561
71,Kosovo,2.541
72,Peru,2.537
73,Netherlands,2.402
74,Haiti,2.39
75,Armenia,2.364
76,Finland,2.332
77,Georgia,2.107
78,Bosnia and Herzegovina,2.023
78,Kyrgyz Republic,2.023
80,Laos,1.955
81,Rwanda,1.92
82,Cyprus,1.886
82,Ecuador,1.886
84,Czech Republic,1.881
85,Senegal,1.788
86,Spain,1.694
87,Brazil,1.645
88,Honduras,1.557
89,Austria,1.517
90,Denmark,1.507
91,Albania,1.479
92,Nicaragua,1.43
93,Macedonia,1.182
94,Bulgaria,1.173
95,Azerbaijan,1.149
96,Djibouti,1.115
97,Argentina,0.971
98,Dominican Republic,0.887
99,Hungary,0.831
100,Uruguay,0.775
101,Guinea,0.719
102,Sierra Leone,0.663
103,Korea,0.607
103,New Zealand,0.607
105,Taiwan,0.551
106,Guatemala,0.502
107,Moldova,0.468
108,Estonia,0.458
109,Lesotho,0.382
109,Poland,0.382
111,Ghana,0.324
112,Switzerland,0.267
113,Trinidad and Tobago,0.248
114,Slovakia,0.229
115,United Arab Emirates,0.21
116,Zimbabwe,0.2
117,Angola,0.153
117,Guyana,0.153
117,Panama,0.153
120,Iceland,0.124
120,Liberia,0.124
122,Qatar,0.115
123,Morocco,0.076
123,Montenegro,0.076
123,Uzbekistan,0.076
126,Jamaica,0.057
127,Serbia,0.043
128,Belarus,0.038
128,Bhutan,0.038
128,Guinea-Bissau,0.038
128,Cambodia,0.038
132,Croatia,0.029
133,Bolivia,0.019
134,Benin,0
134,Botswana,0
134,Costa Rica,0
134,Cuba,0
134,Eritrea,0
134,Gabon,0
134,The Gambia,0
134,Equatorial Guinea,0
134,Lithuania,0
134,Latvia,0
134,Mongolia,0
134,Mauritania,0
134,Mauritius,0
134,Malawi,0
134,Namibia,0
134,Norway,0
134,Oman,0
134,Papua New Guinea,0
134,North Korea,0
134,Portugal,0
134,Romania,0
134,Singapore,0
134,El Salvador,0
134,Slovenia,0
134,Swaziland,0
134,Togo,0
134,Turkmenistan,0
134,Timor-Leste,0
134,Viet Nam,0
134,Zambia,0
