rank,region,score
1,Iraq,10
2,Nigeria,9.201
3,Afghanistan,9.183
4,Pakistan,8.843
5,Syria,8.11
6,Somalia,7.52
7,India,7.515
8,Yemen,7.436
9,Libya,7.031
10,Ukraine,7.02
11,Philippines,7.006
12,Thailand,6.924
13,South Sudan,6.746
14,Central African Republic,6.722
15,Kenya,6.598
16,Egypt,6.591
17,Sudan,6.583
18,Cameroon,6.469
19,Democratic Republic of the Congo,6.398
20,China,6.289
21,Lebanon,6.177
22,Colombia,6.134
23,Russia,6.036
24,Mali,5.729
25,Israel,5.533
26,Bangladesh,5.505
27,Turkey,5.454
28,United Kingdom,5.06
29,Palestine,4.982
30,Uganda,4.921
31,Algeria,4.644
32,United States,4.643
33,Bahrain,4.494
34,Indonesia,4.466
35,Nepal,4.343
36,Greece,4.213
37,Iran,4.14
38,Mozambique,4.074
39,Mexico,3.889
40,Myanmar,3.876
41,South Africa,3.725
42,Saudi Arabia,3.712
43,Tanzania,3.694
44,Sri Lanka,3.667
45,France,3.665
46,Tunisia,3.591
47,Paraguay,3.543
48,Ethiopia,3.445
49,Chile,3.369
50,Ireland,3.328
51,Rwanda,3.302
52,Burundi,3.249
53,Senegal,3.224
54,Niger,3.197
55,Malaysia,3.024
56,Peru,2.926
57,Cote d'Ivoire,2.916
58,Australia,2.758
59,Nicaragua,2.739
60,Norway,2.723
61,Germany,2.717
62,Canada,2.601
63,Italy,2.593
64,Kosovo,2.555
65,Djibouti,2.46
66,Cyprus,2.332
66,Madagascar,2.332
68,Dominican Republic,2.204
69,Chad,2.16
70,Sweden,2.119
71,Spain,2.078
72,Belarus,2.049
73,Brazil,2.04
74,Bulgaria,2.005
75,Georgia,1.925
76,Belgium,1.92
76,Czech Republic,1.92
78,Macedonia,1.832
79,Venezuela,1.812
80,Guatemala,1.802
80,Honduras,1.802
82,Tajikistan,1.711
83,Eritrea,1.611
84,Albania,1.596
85,Kazakhstan,1.586
86,Jordan,1.488
87,Argentina,1.388
88,Morocco,1.331
89,Kyrgyz Republic,1.306
90,Bosnia and Herzegovina,1.215
91,United Arab Emirates,1.053
92,Zimbabwe,1.02
93,Republic of the Congo,0.831
94,Azerbaijan,0.775
94,Ghana,0.775
94,Trinidad and Tobago,0.775
97,Switzerland,0.607
98,Iceland,0.496
98,Liberia,0.496
100,Ecuador,0.477
101,Guinea,0.458
101,Hungary,0.458
101,New Zealand,0.458
104,Austria,0.363
105,Burkina Faso,0.305
105,Montenegro,0.305
105,Taiwan,0.305
108,Netherlands,0.277
109,Bhutan,0.229
109,Jamaica,0.229
111,Serbia,0.22
112,Mauritania,0.191
113,Angola,0.167
114,Guinea-Bissau,0.153
114,Cambodia,0.153
116,Armenia,0.115
116,Croatia,0.115
116,Portugal,0.115
119,Denmark,0.091
120,Bolivia,0.076
120,Estonia,0.076
122,Poland,0.043
123,Laos,0.038
123,Moldova,0.038
125,Kuwait,0.019
126,Benin,0
126,Botswana,0
126,Costa Rica,0
126,Cuba,0
126,Finland,0
126,Gabon,0
126,The Gambia,0
126,Equatorial Guinea,0
126,Guyana,0
126,Haiti,0
126,Japan,0
126,Korea,0
126,Lesotho,0
126,Lithuania,0
126,Latvia,0
126,Mongolia,0
126,Mauritius,0
126,Malawi,0
126,Namibia,0
126,Oman,0
126,Panama,0
126,Papua New Guinea,0
126,North Korea,0
126,Qatar,0
126,Romania,0
126,Singapore,0
126,Sierra Leone,0
126,El Salvador,0
126,Slovakia,0
126,Slovenia,0
126,Swaziland,0
126,Togo,0
126,Turkmenistan,0
126,Timor-Leste,0
126,Uruguay,0
126,Uzbekistan,0
126,Viet Nam,0
126,Zambia,0
