rank,region,score
1,Iraq,9.221
2,Pakistan,8.287
3,Afghanistan,8.017
4,India,7.771
5,Democratic Republic of the Congo,7.08
6,Somalia,6.799
7,Thailand,6.794
8,Sri Lanka,6.782
9,Philippines,6.501
10,Algeria,6.233
11,Nigeria,6.225
12,Russia,6.13
13,Colombia,6.009
14,Sudan,5.889
15,China,5.594
16,Chad,5.585
17,Nepal,5.414
18,Iran,5.301
19,Lebanon,5.193
20,Yemen,5.079
21,Greece,5.019
22,Israel,5.006
23,Turkey,4.946
24,Palestine,4.739
25,Myanmar,4.58
26,Kenya,4.477
27,Ethiopia,4.422
28,Spain,4.236
29,Mali,4.116
30,Georgia,4.102
31,Indonesia,4.055
32,Central African Republic,4.03
33,United Kingdom,4.005
34,Bangladesh,3.941
35,United States,3.904
36,Peru,3.679
37,Niger,3.646
38,Burundi,3.515
39,Uganda,3.343
40,Egypt,3.211
41,France,3.186
42,Rwanda,3.031
43,Senegal,2.935
44,Venezuela,2.898
45,Saudi Arabia,2.708
46,Syria,2.684
47,Netherlands,2.642
48,Mexico,2.558
49,Honduras,2.504
50,Eritrea,2.309
51,Moldova,2.297
52,Guyana,2.285
53,Chile,2.282
54,Kosovo,2.259
55,Mauritania,2.227
56,Austria,2.198
57,Azerbaijan,2.134
58,Serbia,2.11
59,Zimbabwe,2.084
60,Canada,2.052
61,Macedonia,2.046
62,Morocco,2.017
63,Cote d'Ivoire,1.989
64,Jordan,1.93
65,Uzbekistan,1.871
66,Germany,1.847
67,Belarus,1.793
68,Bhutan,1.743
69,Tunisia,1.694
70,Guinea-Bissau,1.638
71,Bolivia,1.601
72,Italy,1.579
73,Ukraine,1.496
74,Czech Republic,1.463
74,Hungary,1.463
76,Bosnia and Herzegovina,1.446
77,Sweden,1.223
78,Angola,1.198
78,Madagascar,1.198
80,Cameroon,1.066
81,Equatorial Guinea,0.999
82,Mozambique,0.915
83,Timor-Leste,0.901
84,Armenia,0.831
84,Ecuador,0.831
86,Malaysia,0.775
87,Ireland,0.719
88,Kazakhstan,0.663
88,Panama,0.663
90,Argentina,0.487
91,Albania,0.458
91,Japan,0.458
91,Cambodia,0.458
94,Australia,0.401
95,Bahrain,0.382
95,New Zealand,0.382
97,Guatemala,0.363
98,Croatia,0.32
99,Haiti,0.286
99,South Africa,0.286
101,Belgium,0.267
101,Finland,0.267
103,Brazil,0.258
104,Swaziland,0.248
105,Cyprus,0.191
105,Kyrgyz Republic,0.191
107,Lesotho,0.181
107,Tajikistan,0.181
109,Switzerland,0.172
110,Denmark,0.153
110,Tanzania,0.153
112,Qatar,0.124
113,Benin,0.115
113,Libya,0.115
113,Romania,0.115
113,Taiwan,0.115
117,Kuwait,0.095
118,Trinidad and Tobago,0.086
119,Bulgaria,0.076
120,Norway,0.057
121,Montenegro,0.038
121,Papua New Guinea,0.038
123,Korea,0.029
123,Uruguay,0.029
125,United Arab Emirates,0
125,Burkina Faso,0
125,Botswana,0
125,Republic of the Congo,0
125,Costa Rica,0
125,Cuba,0
125,Djibouti,0
125,Dominican Republic,0
125,Estonia,0
125,Gabon,0
125,Ghana,0
125,Guinea,0
125,The Gambia,0
125,Iceland,0
125,Jamaica,0
125,Laos,0
125,Liberia,0
125,Lithuania,0
125,Latvia,0
125,Mongolia,0
125,Mauritius,0
125,Malawi,0
125,Namibia,0
125,Nicaragua,0
125,Oman,0
125,Poland,0
125,North Korea,0
125,Portugal,0
125,Paraguay,0
125,Singapore,0
125,Sierra Leone,0
125,El Salvador,0
NA,South Sudan,NaN
125,Slovakia,0
125,Slovenia,0
125,Togo,0
125,Turkmenistan,0
125,Viet Nam,0
125,Zambia,0
