rank,region,score
1,Iraq,9.553
2,Afghanistan,8.908
3,Pakistan,8.894
4,Nigeria,8.135
5,Syria,7.717
6,India,7.485
7,Somalia,7.07
8,Yemen,6.978
9,Philippines,6.924
10,Thailand,6.831
11,Russia,6.439
12,Kenya,6.236
13,Egypt,6.137
14,Lebanon,6.081
15,Colombia,5.96
16,Libya,5.939
17,Democratic Republic of the Congo,5.714
18,Turkey,5.635
19,Sudan,5.606
20,South Sudan,5.309
21,Algeria,5.255
22,Mali,5.211
23,Bangladesh,5.07
24,Central African Republic,5.058
25,Nepal,4.993
26,United Kingdom,4.974
27,China,4.963
28,Iran,4.622
29,United States,4.571
30,Greece,4.511
31,Mexico,4.494
32,Indonesia,4.479
33,Israel,4.434
34,Palestine,4.252
35,Bahrain,4.21
36,Myanmar,4.077
37,Mozambique,3.813
38,France,3.793
39,Sri Lanka,3.767
40,Rwanda,3.765
41,Burundi,3.737
42,Cote d'Ivoire,3.577
43,Tanzania,3.536
44,Ethiopia,3.527
45,Paraguay,3.48
46,Tunisia,3.428
47,Norway,3.4
48,Senegal,3.276
49,Uganda,3.014
50,Ireland,2.983
51,South Africa,2.933
52,Malaysia,2.873
53,Peru,2.787
54,Belarus,2.694
55,Ukraine,2.667
56,Kosovo,2.594
57,Saudi Arabia,2.578
58,Chile,2.562
59,Italy,2.515
60,Niger,2.508
61,Guatemala,2.495
62,Bulgaria,2.46
62,Cyprus,2.46
64,Georgia,2.45
65,Eritrea,2.3
66,Honduras,2.246
67,Kazakhstan,2.239
68,Morocco,2.017
69,Tajikistan,1.866
70,Spain,1.734
71,Argentina,1.64
72,Brazil,1.635
73,Republic of the Congo,1.517
74,Trinidad and Tobago,1.463
75,Jordan,1.38
76,Macedonia,1.359
77,Cameroon,1.355
78,Venezuela,1.31
79,Switzerland,1.264
80,Madagascar,1.19
81,Germany,1.182
82,Canada,1.132
83,Ecuador,1.124
84,Guinea,1.066
85,Sweden,1.024
86,Austria,1.004
87,Zimbabwe,0.957
88,Czech Republic,0.761
89,Bosnia and Herzegovina,0.719
90,Burkina Faso,0.663
90,Montenegro,0.663
92,Netherlands,0.551
92,Serbia,0.551
94,Mauritania,0.537
95,Belgium,0.509
96,Dominican Republic,0.458
97,Angola,0.401
98,Guinea-Bissau,0.344
99,Cambodia,0.305
99,Taiwan,0.305
101,United Arab Emirates,0.277
102,Moldova,0.272
103,Armenia,0.267
104,Bolivia,0.234
105,Croatia,0.229
105,Portugal,0.229
107,Albania,0.181
107,Denmark,0.181
109,Bhutan,0.153
109,Estonia,0.153
111,Uzbekistan,0.134
112,Kyrgyz Republic,0.095
113,Poland,0.086
114,Iceland,0.076
114,Laos,0.076
114,Liberia,0.076
117,Australia,0.067
117,Hungary,0.067
119,Azerbaijan,0.057
120,Equatorial Guinea,0.052
120,Chad,0.052
122,Kuwait,0.038
122,Panama,0.038
124,Japan,0.01
124,Lesotho,0.01
126,Benin,0
126,Botswana,0
126,Costa Rica,0
126,Cuba,0
126,Djibouti,0
126,Finland,0
126,Gabon,0
126,Ghana,0
126,The Gambia,0
126,Guyana,0
126,Haiti,0
126,Jamaica,0
126,Korea,0
126,Lithuania,0
126,Latvia,0
126,Mongolia,0
126,Mauritius,0
126,Malawi,0
126,Namibia,0
126,Nicaragua,0
126,New Zealand,0
126,Oman,0
126,Papua New Guinea,0
126,North Korea,0
126,Qatar,0
126,Romania,0
126,Singapore,0
126,Sierra Leone,0
126,El Salvador,0
126,Slovakia,0
126,Slovenia,0
126,Swaziland,0
126,Togo,0
126,Turkmenistan,0
126,Timor-Leste,0
126,Uruguay,0
126,Viet Nam,0
126,Zambia,0
