rank,region,score
1,Iraq,9.113
2,Pakistan,8.437
3,Afghanistan,8.052
4,India,7.796
5,Thailand,6.745
6,Somalia,6.657
7,Russia,6.626
8,Democratic Republic of the Congo,6.612
9,Philippines,6.523
10,Yemen,6.322
11,Nigeria,6.125
12,Sri Lanka,6.121
13,Algeria,5.951
14,Colombia,5.948
15,Iran,5.777
16,Sudan,5.677
17,Nepal,5.043
18,China,5.028
19,Chad,4.931
20,Uganda,4.778
21,Greece,4.761
22,Kenya,4.647
23,Turkey,4.613
24,Lebanon,4.594
25,Central African Republic,4.567
26,Israel,4.51
27,Myanmar,4.501
28,Palestine,4.233
29,United Kingdom,4.114
30,Burundi,4.093
31,Ethiopia,4.045
32,Bangladesh,3.923
33,United States,3.797
34,Georgia,3.749
35,Rwanda,3.635
36,Spain,3.606
37,Mali,3.522
38,Eritrea,3.471
39,Indonesia,3.35
40,Niger,3.09
41,Cote d'Ivoire,3.065
42,Peru,3.024
43,Senegal,2.712
44,France,2.609
45,Tajikistan,2.546
46,Chile,2.5
47,Egypt,2.39
48,Mexico,2.354
49,Italy,2.306
50,Cameroon,2.297
51,Angola,2.25
52,Venezuela,2.221
53,Ukraine,2.186
54,Kosovo,2.175
55,Saudi Arabia,2.055
56,Netherlands,2.052
57,Argentina,2.04
57,Syria,2.04
59,Sweden,2.032
60,Serbia,1.871
61,Mauritania,1.852
62,Paraguay,1.832
63,Honduras,1.812
64,Zimbabwe,1.81
65,Belarus,1.753
66,Canada,1.743
67,Bosnia and Herzegovina,1.67
68,Moldova,1.635
69,Guyana,1.625
70,Austria,1.552
71,Azerbaijan,1.496
72,Macedonia,1.372
73,Morocco,1.331
74,Germany,1.273
75,Jordan,1.198
75,Uzbekistan,1.198
77,Ireland,1.149
78,United Arab Emirates,1.132
79,Bhutan,1.091
80,Tunisia,1.049
81,Bahrain,0.943
81,Bolivia,0.943
83,Guinea-Bissau,0.803
84,Czech Republic,0.775
84,Hungary,0.775
84,Poland,0.775
87,Australia,0.733
88,Madagascar,0.551
89,Kyrgyz Republic,0.537
90,Equatorial Guinea,0.42
91,Mozambique,0.391
92,Timor-Leste,0.382
93,Armenia,0.363
93,Ecuador,0.363
95,Malaysia,0.344
96,Denmark,0.305
96,Kazakhstan,0.305
96,Panama,0.305
99,Norway,0.258
100,Albania,0.229
100,Japan,0.229
100,Cambodia,0.229
100,Tanzania,0.229
104,New Zealand,0.191
105,Guatemala,0.181
106,Croatia,0.153
107,Haiti,0.143
107,South Africa,0.143
109,Belgium,0.134
109,Finland,0.134
111,Brazil,0.129
112,Swaziland,0.124
113,Cyprus,0.095
114,Lesotho,0.091
115,Switzerland,0.086
116,Benin,0.057
116,Libya,0.057
116,Romania,0.057
116,Taiwan,0.057
120,Bulgaria,0.038
121,Montenegro,0.019
121,Papua New Guinea,0.019
123,Korea,0.014
124,Burkina Faso,0
124,Botswana,0
124,Republic of the Congo,0
124,Costa Rica,0
124,Cuba,0
124,Djibouti,0
124,Dominican Republic,0
124,Estonia,0
124,Gabon,0
124,Ghana,0
124,Guinea,0
124,The Gambia,0
124,Iceland,0
124,Jamaica,0
124,Kuwait,0
124,Laos,0
124,Liberia,0
124,Lithuania,0
124,Latvia,0
124,Mongolia,0
124,Mauritius,0
124,Malawi,0
124,Namibia,0
124,Nicaragua,0
124,Oman,0
124,North Korea,0
124,Portugal,0
124,Qatar,0
124,Singapore,0
124,Sierra Leone,0
124,El Salvador,0
NA,South Sudan,NaN
124,Slovakia,0
124,Slovenia,0
124,Togo,0
124,Turkmenistan,0
124,Trinidad and Tobago,0
124,Uruguay,0
124,Viet Nam,0
124,Zambia,0
