rank,region,score
1,Afghanistan,9.603
2,Iraq,9.241
3,Nigeria,8.597
4,Syria,8.006
5,Pakistan,7.889
6,Somalia,7.8
7,India,7.518
8,Yemen,7.259
9,Philippines,7.137
10,Democratic Republic of the Congo,7.039
11,Egypt,6.794
12,Libya,6.766
13,Mali,6.653
14,Central African Republic,6.622
15,Cameroon,6.62
16,Turkey,6.533
17,South Sudan,6.316
18,Thailand,6.029
19,Colombia,5.912
20,Sudan,5.807
21,Kenya,5.756
22,United States of America,5.691
23,Niger,5.596
24,Ukraine,5.547
25,Mozambique,5.542
26,Myanmar,5.512
27,Burkina Faso,5.418
28,United Kingdom,5.405
29,Ethiopia,5.345
30,Saudi Arabia,5.238
31,Bangladesh,5.208
32,Palestine,5.177
33,Burundi,5.102
34,Nepal,5.093
35,Indonesia,5.07
36,France,5.008
37,Russia,4.9
38,Chad,4.762
39,Iran,4.717
40,Israel,4.525
41,South Africa,4.511
42,China,4.465
43,Lebanon,4.395
44,Germany,4.254
45,Greece,4.167
46,Chile,4.123
47,Venezuela,4.101
48,Mexico,4.08
49,Uganda,3.957
50,Tajikistan,3.947
51,Tunisia,3.938
52,Angola,3.784
53,Belgium,3.636
54,Canada,3.591
55,Sri Lanka,3.569
56,Sweden,3.45
57,Algeria,3.409
58,Bolivia,3.387
59,Spain,3.354
60,Tanzania,3.272
61,Bahrain,3.201
62,Paraguay,3.119
63,Italy,3.109
64,Jordan,3.091
65,Nicaragua,2.952
66,Rwanda,2.948
67,Peru,2.84
68,Zimbabwe,2.834
69,Ireland,2.692
70,Republic of the Congo,2.687
71,Australia,2.645
72,"Cote d"" Ivoire",2.598
73,Brazil,2.53
74,Malaysia,2.495
75,Kuwait,2.487
76,Ecuador,2.455
77,Netherlands,2.347
78,Japan,2.291
79,Kosovo,2.255
80,Haiti,2.18
81,Finland,2.026
82,Madagascar,1.957
83,Argentina,1.68
84,Austria,1.655
85,Kazakhstan,1.566
86,Ghana,1.559
87,Kyrgyz Republic,1.467
88,Bosnia and Herzegovina,1.388
89,Papua New Guinea,1.364
90,Georgia,1.335
91,Guatemala,1.331
92,Morocco,1.215
93,Senegal,1.186
94,Armenia,1.173
95,Laos,1.033
96,Taiwan,1.008
97,Montenegro,0.999
97,Vietnam,0.999
99,Honduras,0.992
100,Guinea,0.971
101,Denmark,0.957
102,Czech Republic,0.866
103,Azerbaijan,0.698
104,Malawi,0.663
105,Gabon,0.551
106,Poland,0.477
107,Jamaica,0.472
108,Lithuania,0.458
108,Sierra Leone,0.458
110,Albania,0.42
110,Cyprus,0.42
112,Bulgaria,0.372
113,Djibouti,0.32
114,Zambia,0.305
115,Macedonia (FYR),0.301
116,South Korea,0.296
117,Latvia,0.229
118,Switzerland,0.191
119,Hungary,0.181
120,Dominican Republic,0.177
121,Uruguay,0.172
122,New Zealand,0.143
123,Estonia,0.115
123,Moldova,0.115
123,Serbia,0.115
126,Liberia,0.105
127,Lesotho,0.095
128,Norway,0.076
129,Slovakia,0.057
130,United Arab Emirates,0.048
131,Guyana,0.038
131,Panama,0.038
133,Iceland,0.029
133,Qatar,0.029
135,Trinidad and Tobago,0.019
135,Uzbekistan,0.019
137,Bhutan,0.01
138,Benin,0
138,Belarus,0
138,Botswana,0
138,Costa Rica,0
138,Cuba,0
138,Eritrea,0
138,The Gambia,0
138,Guinea-Bissau,0
138,Equatorial Guinea,0
138,Croatia,0
138,Cambodia,0
138,Mongolia,0
138,Mauritania,0
138,Mauritius,0
138,Namibia,0
138,Oman,0
138,North Korea,0
138,Portugal,0
138,Romania,0
138,Singapore,0
138,El Salvador,0
138,Slovenia,0
138,Swaziland,0
138,Togo,0
138,Turkmenistan,0
138,Timor-Leste,0
