Ranking,Country,2014 Index,2013 Index
1,China,8.11,8.30
2,Brazil,6.80,6.89
3,Saudi Arabia,6.77,6.67
4,India,6.75,6.94
5,Indonesia,6.59,6.60
6,UAE,6.50,6.55
7,Russia,6.45,6.44
8,Malaysia,6.14,6.11
9,Mexico,6.09,6.07
10,Turkey,6.01,5.99
11,Chile,5.92,5.95
12,Qatar,5.88,5.78
13,Oman,5.70,5.73
14,Thailand,5.46,5.56
15,South Africa,5.38,5.47
16,Kazakhstan,5.07,4.99
17,Morocco,5.05,4.99
18,Kuwait,5.04,5.12
19,Philippines,4.91,4.66
20,Uruguay,4.87,4.88
21,Vietnam,4.87,4.81
22,Bahrain,4.86,4.87
23,Peru,4.83,4.83
24,Jordan,4.81,4.68
25,Argentina,4.79,4.96
26,Colombia,4.71,4.62
27,Ukraine,4.71,4.90
28,Egypt,4.54,4.66
29,Nigeria,4.47,4.37
30,Sri Lanka,4.45,4.53
31,Bangladesh,4.45,4.43
32,Pakistan,4.45,4.44
33,Libya,4.33,4.35
34,Tunisia,4.13,4.86
35,Ecuador,4.10,3.91
36,Venezuela,4.01,3.98
37,Algeria,3.98,3.94
38,Ethiopia,3.84,3.81
39,Paraguay,3.73,3.62
40,Lebanon,3.70,3.81
41,Cambodia,3.69,3.45
42,Tanzania,3.67,3.48
43,Bolivia,3.53,3.40
44,Kenya,3.52,3.43
45,Uganda,3.42,3.31
