Ranking,Country,2015 Index,2014 Index
1,China,8.09,8.11
2,Saudi Arabia,6.76,6.77
3,Brazil,6.71,6.80
4,Indonesia,6.70,6.59
5,India,6.66,6.75
6,UAE,6.63,6.50
7,Russia,6.57,6.45
8,Malaysia,6.36,6.14
9,Mexico,6.30,6.09
10,Turkey,6.06,6.01
11,Chile,5.93,5.92
12,Qatar,5.87,5.88
13,Oman,5.70,5.70
14,Thailand,5.58,5.46
15,South Africa,5.46,5.38
16,Philippines,5.15,4.91
17,Morocco,5.11,5.05
18,Kazakhstan,5.08,5.07
19,Vietnam,4.95,4.87
20,Uruguay,4.92,4.87
21,Kuwait,4.91,5.04
22,Colombia,4.86,4.71
23,Peru,4.84,4.83
24,Bahrain,4.78,4.86
25,Pakistan,4.77,4.45
26,Argentina,4.67,4.79
27,Nigeria,4.56,4.47
28,Bangladesh,4.56,4.45
29,Jordan,4.54,4.81
30,Ukraine,4.46,4.71
31,Sri Lanka,4.43,4.45
32,Egypt,4.38,4.54
33,Ecuador,4.14,4.10
34,Algeria,4.10,3.98
35,Tunisia,3.87,4.13
36,Venezuela,3.81,4.01
37,Ethiopia,3.76,3.84
38,Paraguay,3.74,3.73
39,Tanzania,3.60,3.67
40,Libya,3.58,4.33
41,Bolivia,3.58,3.53
42,Lebanon,3.56,3.70
43,Kenya,3.47,3.52
44,Cambodia,3.46,3.69
45,Uganda,3.31,3.42
