Ranking,Country,2017 Index,2016 Index
1,China,7.88,8.00
2,India,7.14,6.83
3,UAE,7.07,7.02
4,Malaysia,6.66,6.71
5,Saudi Arabia,6.48,6.67
6,Indonesia,6.41,6.50
7,Brazil,6.23,6.46
8,Mexico,6.15,6.25
9,Turkey,6.09,6.05
10,Russia,6.09,6.23
11,Chile,5.88,6.01
12,Qatar,5.78,5.88
13,Oman,5.62,5.63
14,Kazakhstan,5.60,5.34
15,Thailand,5.53,5.77
16,Philippines,5.42,5.48
17,Pakistan,5.39,5.21
18,Iran,5.35,4.97
19,Vietnam,5.33,5.25
20,Egypt,5.29,5.16
21,South Africa,5.26,5.43
22,Morocco,5.23,5.19
23,Bahrain,5.16,4.95
24,Nigeria,5.07,5.50
25,Colombia,4.99,5.05
26,Kuwait,4.98,5.12
27,Bangladesh,4.94,4.96
28,Argentina,4.94,4.56
29,Uruguay,4.90,5.03
30,Peru,4.78,4.85
31,Algeria,4.73,4.55
32,Sri Lanka,4.67,4.67
33,Jordan,4.58,4.40
34,Ecuador,4.44,4.44
35,Ukraine,4.14,4.26
36,Bolivia,4.03,3.84
37,Ethiopia,4.00,3.78
38,Tanzania,3.98,3.76
39,Ghana,3.97,3.84
40,Paraguay,3.86,3.91
41,Uganda,3.81,3.48
42,Tunisia,3.78,3.90
43,Kenya,3.76,3.55
44,Venezuela,3.72,3.74
45,Cambodia,3.58,3.55
46,Libya,3.57,3.70
47,Lebanon,3.50,3.62
48,Myanmar,3.45,3.46
49,Angola,3.38,3.40
50,Mozambique,3.38,3.46
